realSum,room_type,person_capacity,business,cleanliness_rating,guest_satisfaction_overall,bedrooms
607.1754973871067,Private,4,0,10.0,96.0,1
314.4845686968341,Private,2,0,9.0,91.0,1
390.6451386122373,Private,2,0,9.0,86.0,1
449.6988728235653,Private,4,0,10.0,98.0,1
181.8480069364704,Private,2,0,10.0,87.0,1
2458.2288566540906,Apartment,5,0,10.0,100.0,3
410.32971668267993,Apartment,2,0,8.0,91.0,1
771.6823284043776,Apartment,2,0,9.0,96.0,1
415.2508612002906,Apartment,4,0,10.0,96.0,2
577.4142900663184,Apartment,2,0,9.0,97.0,1
531.9522883322007,Apartment,2,0,9.0,93.0,1
552.808567478265,Apartment,4,0,9.0,96.0,2
1651.864176411314,Apartment,4,0,10.0,100.0,3
282.8486396550512,Apartment,2,0,10.0,98.0,1
347.9952194596115,Private,4,0,10.0,100.0,2
485.5529257375859,Apartment,3,0,9.0,95.0,2
436.3414805614792,Private,2,0,10.0,98.0,1
221.2171630773557,Private,2,0,10.0,93.0,1
460.9472031495325,Apartment,2,0,10.0,98.0,1
552.808567478265,Apartment,4,0,9.0,99.0,3
368.8514986056758,Apartment,2,0,10.0,93.0,1
209.03147189089125,Private,2,0,9.0,89.0,0
568.9780423218428,Private,3,1,10.0,92.0,0
1044.6886790242074,Apartment,4,0,9.0,94.0,2
489.30236917957495,Apartment,2,0,8.0,85.0,1
239.7300400721768,Private,2,0,9.0,91.0,1
734.8909146298597,Apartment,4,1,9.0,89.0,2
274.1780516954515,Private,2,0,10.0,96.0,1
399.5500667869613,Private,2,1,10.0,95.0,1
337.91859020926586,Private,3,0,10.0,86.0,1
474.0702551964943,Apartment,4,0,10.0,100.0,2
534.7643709136926,Apartment,2,0,10.0,96.0,1
436.3414805614792,Private,2,1,9.0,92.0,0
1112.1786609800108,Apartment,4,0,9.0,97.0,2
614.4400440559605,Private,4,0,9.0,95.0,2
202.70428608253465,Private,2,0,9.0,86.0,1
430.24863496824696,Apartment,2,0,10.0,96.0,1
243.2451432990416,Private,2,0,9.0,92.0,1
277.69315492231624,Private,2,0,10.0,97.0,1
356.4314672040869,Private,2,0,10.0,99.0,1
555.3863098446325,Private,3,0,10.0,96.0,1
352.68202376209786,Apartment,2,0,9.0,96.0,1
318.2340121388232,Private,4,0,9.0,94.0,1
368.6171583905514,Apartment,2,0,9.0,98.0,1
774.2600707707451,Private,4,0,10.0,99.0,1
1029.925245471375,Apartment,4,0,9.0,95.0,1
326.6702598832986,Apartment,4,0,8.0,90.0,3
299.72113514400206,Private,2,0,10.0,100.0,1
688.0228716049962,Apartment,4,0,8.0,91.0,2
399.31572657183705,Apartment,3,0,10.0,98.0,1
362.5243127973192,Apartment,2,0,10.0,97.0,2
350.1042813957304,Private,2,0,10.0,93.0,0
1038.361493215851,Apartment,2,0,9.0,90.0,1
432.3576969043658,Private,2,0,8.0,90.0,1
337.6842499941415,Private,2,0,10.0,98.0,1
1118.2715065732432,Apartment,4,0,10.0,95.0,3
335.57518805802266,Private,2,0,9.0,92.0,0
468.2117498183864,Apartment,2,0,10.0,95.0,1
241.83910200829567,Private,2,0,9.0,90.0,1
1739.03873643756,Apartment,4,0,10.0,98.0,2
368.6171583905514,Apartment,2,0,10.0,98.0,1
346.5891781688656,Private,2,0,9.0,89.0,0
417.8286035666581,Private,4,0,10.0,96.0,2
421.34370679352287,Apartment,2,1,10.0,95.0,1
712.8629344081738,Apartment,2,0,10.0,94.0,1
308.39172310360186,Private,3,0,9.0,97.0,1
333.23178590677946,Private,2,0,9.0,88.0,0
356.1971269889626,Private,2,0,10.0,100.0,1
351.51032268647623,Private,2,0,9.0,84.0,0
264.33576266023016,Private,2,0,10.0,97.0,1
344.2457760176224,Private,2,0,10.0,98.0,1
515.7828134886229,Apartment,4,0,9.0,93.0,3
491.64577133081815,Apartment,6,0,10.0,90.0,3
501.2537201509151,Apartment,2,0,10.0,100.0,1
552.808567478265,Apartment,3,0,10.0,100.0,1
386.19267452487526,Private,2,0,10.0,96.0,1
1136.5500433529398,Apartment,4,0,9.0,95.0,2
268.0852061022192,Private,2,0,10.0,99.0,0
